ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM,mean_ndvi_change_2015_to_2023,Somalia_NDVI_Change_2015_to_2016,Somalia_NDVI_Change_2016_to_2017,Somalia_NDVI_Change_2017_to_2018,Somalia_NDVI_Change_2018_to_2019,Somalia_NDVI_Change_2019_to_2020,Somalia_NDVI_Change_2020_to_2021,Somalia_NDVI_Change_2021_to_2022,Somalia_NDVI_Change_2022_to_2023
Awdal,SO11,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,5.65707098966,1.31222441436,15884.8142524,0.00633043314138774,0.0106336552605704,-0.00532178997062984,0.011024340679158,0.00600987380947774,0.0303579285567233,-0.016745027403156,-0.016998683469805,0.0317021204407028
Bakool,SO25,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,6.65022548863,2.10138869235,25797.6140968,-0.00943929562839236,-0.022703116287466,-0.0323787440913558,0.0702566429206587,-0.00155935554827538,0.0353424879152766,-0.0649158764516711,-0.0267221509804839,-0.0328342525300475
Banadir,SO22,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,1.06876159887,0.02661157634,327.35166262,-0.00552541595516783,0.00100928919948184,-0.0195686287285521,0.00535443978345033,-0.0187339454220034,0.0416607179628292,-0.00861354521422063,-0.02056147228867,-0.0249975383482562
Bari,SO16,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,12.2187623948,5.61806370524,68077.0070648,0.00310860530079585,-0.00892536242196406,0.00414570807725102,-0.00292541867281506,0.00922620794441397,0.0244645705168552,-0.00816335744995385,-0.0189097322730291,0.0259504551034887
Bay,SO24,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,8.08691263517,3.57292944806,43931.5260465,-0.0135589050308131,-0.0478972811815699,-0.0100447450307683,0.0553805003255052,-0.0168739906148464,0.0393790469915565,-0.0705200650617576,-0.0206604152326601,-0.0372342984258904
Galgaduud,SO19,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,9.10188144052,4.01935108096,49279.5284392,-0.00452680607119079,-0.0204865611246454,-0.0140533765852842,0.0250259100711275,0.00085392217088317,0.0266117266950626,-0.0301606689770268,-0.0160165428438648,-0.00798714433576063
Gedo,SO26,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,9.04208926019,3.66528190215,45056.5013531,-0.00908780672957955,-0.0166765687180939,-0.0190189432996315,0.0525184919122765,0.00221740042385323,0.0135013843357748,-0.0633912154785743,-0.0198493389076905,-0.022003523397572
Hiraan,SO20,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,7.046881575,2.75764692708,33853.5457889,-0.00913076990106133,-0.0317183047345709,-0.0225817100227976,0.0449740763633681,0.00176090189033101,0.0395522999000292,-0.0569372987631567,-0.025247818835491,-0.0228483115110867
Lower Juba,SO28,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,11.3384593736,3.8903557854,47883.1992467,-0.0083613454892703,-0.0532194678497885,-0.000158832165516276,0.0563815379947823,-0.0130216743827776,0.0317999263349343,-0.0810026855330947,0.00667267328338187,-0.0143279751120063
Lower Shabelle,SO23,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,8.11524280761,2.08196012171,25611.8031331,-0.0091302096115565,-0.0393771140806841,-0.0152736309793483,0.0524275563179558,-0.00451535515546181,0.0414151492324078,-0.0642966432639834,-0.0137220280952526,-0.0296779457593728
Middle Juba,SO27,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,6.1972247229,1.52698326884,18791.0019606,-0.00930216508990362,-0.0543529836254124,0.0204195481932661,0.0358725720913375,-0.00355513908292293,0.0201533423798031,-0.0607885429910027,-0.0173015356381715,-0.0148650330763147
Middle Shabelle,SO21,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,5.89391371289,1.51812111799,18660.8461494,-0.00827335748146838,-0.0338401507825912,-0.0385905592217013,0.0468806961624197,-0.00667425630890889,0.0613499066677763,-0.0502823192848905,-0.0426985318864815,-0.0023175767862395
Mudug,SO18,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,10.7280151546,4.79952120971,58716.3294725,-0.0024759680479637,-0.0176634712743879,-0.0101703303599746,0.0282557152016117,0.00154575678859704,0.0278530485048238,-0.0352742269645428,-0.0143607217214974,7.65191575519526e-06
Nugaal,SO17,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,7.66552247424,2.26173637327,27568.353891,-0.00139872927173885,-0.0152400797595725,0.000663202203639114,0.00404443751916883,0.00845712796992272,0.0220460177527275,-0.0212186868167609,-0.0119615555625787,0.00201822000713218
Sanaag,SO15,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,8.88215057774,4.44151646187,53810.5261634,0.00114363341714009,-0.00877788493643425,0.00252179079364737,0.00486344533708415,0.0140185628007711,0.0202568049826272,-0.000973069506000955,-0.0282354233372533,0.00547491721886297
Sool,SO14,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,9.23484789663,3.06942726394,37331.5535166,-0.00164680075095424,-0.0168645845451339,0.000698436032957923,0.0072190173308479,0.0160094575407967,0.00870597156257013,-0.00946118684705893,-0.0171724469746587,-0.00230907041343965
Togdheer,SO13,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,7.79184240995,2.81103153788,34174.8498535,-0.00110390182818859,-0.0129278075627284,0.00189600056421504,0.0129548626723072,0.00965725996207776,0.0202549798842361,-0.0172317077615767,-0.0195505723911608,-0.00388423048100996
Woqooyi Galbeed,SO12,Somalia,SO,2024/12/04 00:00:00,2025/01/08 00:00:00,,8.48422304243,2.32854147842,28247.4957966,0.00140158127163653,0.000263497547395249,-0.00622656524822498,0.014932604454775,0.00600998899035312,0.0310331550221006,-0.0138706634766352,-0.0250357345211273,0.00410709936844754
