country,adm1_name,adm1_pcode,pop_frac_3plus,years_of_schooling,primary_school_net_attendance_gp_index,secondary_school_net_attendance_gp_index,health_fac_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,healthcare_access_pop,school_access_pop,cooking_fuel,sanitation,electricity,housing,assets,poverty_headcount_pct,soil_moist,fapar,pdsi,ndvi,youth_bulge,literacy_percent_total,percent_no_formal_education,percent_highest_level_secondary_education,percent_highest_level_primary_education,percent_highest_level_university_education,mch_ctr_per_10k_pop,school_attendance,food_security,access_to_healthcare,overcrowding,water,unemployment,shocks,total_expenditure_usd,food_percentage_share_pct,extreme_poverty_headcount_pct,youth_unemployment,,,,,,,,
Somalia,Awdal,SO11,0.125,0.033333333,0.326315789,0.145400593,0.561174461,0.322029255,0.250429137,0.418345992,0.285064863,0,0.179844961,0.12195122,0.289333333,0.018450185,0,0.630050715,1,0.294374748,1,0.609349011,0.747282609,0,0.943396226,0.944206009,1,0.988020796,0.010869565,0.188905547,0.031007752,0.19,0.25,0,0.244256348,0.996865204,0.152727273,0.018223235,0.040449438,,,,,,,,
Somalia,Bakool,SO25,0.25,1,0.094736842,0.03264095,1,1,0,0.418345992,0.191765532,1,0.76744186,1,1,0.271217712,0.76875,0.707758355,0.755870936,0.613276305,0.174887105,0.609450367,0.263586957,0.8125,0,0.403433476,0,0.350647169,1,1,0.511627907,1,1,1,1,0.134796238,1,0.806378132,1,,,,,,,,
Somalia,Banadir,SO22,0.125,0.215686275,0,0.237388724,0,0.002808554,0.552577095,1,1,0.374784111,0.235658915,0,0.658666667,0.511070111,0.095833333,0,0,0.135365561,0.378307409,1,0.934782609,0.473958333,0.811320755,0.373390558,0.593023256,0,0.382608696,0.604197901,0.139534884,0.39,0,0.85483871,0,0.706896552,0.258181818,0,0.761797753,,,,,,,,
Somalia,Bari,SO16,0.166666667,0.311764706,0.094736842,0.118694362,0.425709622,0.36141698,0.905011199,0.418345992,0.2911631,0.255613126,0.041860465,0.021520803,0.129333333,0.068265683,0.095833333,0.350108691,0.938491219,1,0.894346881,0.519967717,0.72826087,0.229166667,0.745283019,0.884120172,0.38372093,0.258263246,0.317391304,0.484257871,0.143410853,0.438333333,0.3125,0.241935484,0.330108827,0.868338558,0.349090909,0.031890661,0.011235955,,,,,,,,
Somalia,Bay,SO24,1,0.643137255,0.526315789,0.93768546,0.499692164,0.456779073,0.127656693,0.418345992,0.059319215,0.740932642,0.982945736,0.342898135,0.856,0.808118081,0.3875,0.988055038,0.455102889,0.291693585,0,0.609388051,0.519021739,0.596354167,0.405660377,0.480686695,0.255813953,0.348802624,0.826086957,0.820089955,0.434108527,0.796666667,0.286989796,0.5,0.674727932,0.764890282,0.64,0.243735763,0.968539326,,,,,,,,
Somalia,Galgaduud,SO19,0.583333333,0.423529412,0.578947368,0.228486647,0.124220229,0.065763801,0.392087517,0.418345992,0.016964187,0.345423143,0.20620155,0.284074605,0.312,0.293357934,0.329166667,0.354550242,0.635280774,0.676746469,0.495099515,0.411909397,0.4375,0.739583333,0.424528302,0.278969957,0.139534884,0.261379618,0.345652174,0.592203898,0.093023256,0.505,0.095663265,0.198924731,0.214026602,0.5,0.294545455,0.066059226,0.053932584,,,,,,,,
Somalia,Gedo,SO26,0.333333333,0.711764706,0.2,0.068249258,0.62466696,0.547817078,0.489917482,0.418345992,0.191765532,0.801381693,0.463565891,0.582496413,0.881333333,0.549815498,0.329166667,1,0.693886587,0.387686866,0.108755645,5.39298E-05,0.777173913,0.526041667,0.358490566,0.660944206,0.139534884,0.42385832,0.623913043,0.664167916,1,0.88,0.505102041,0.462365591,0.661426844,0.586206897,0.381818182,0.175398633,0.235955056,,,,,,,,
Somalia,Hiraan,SO20,0.083333333,0.462745098,0.336842105,0.192878338,0.717379802,0.5822408,0.315577521,0,0.077503049,0.858376511,1,0.516499283,0.968,0.284132841,0.895833333,0.557537589,0.604830213,0.470770329,0.296027764,0.017736239,0.774456522,0.338541667,0.471698113,0.905579399,0.174418605,0.670431766,0.615217391,0.695652174,0.15503876,0.946666667,0.482142857,0.301075269,0.629987908,0.184952978,0.538181818,0.44191344,0.168539326,,,,,,,,
Somalia,Lower Juba,SO28,0.125,0.670588235,0.305263158,0,0.096944058,0.038450792,0,0.418345992,0.165095909,0.775474957,0.748837209,0.351506456,0.654666667,1,0.452083333,0.755019408,0.31797091,0.148569528,0.305536043,0,0.494565217,0.684895833,0.235849057,0.489270386,0.034883721,0.327259752,0.869565217,0.923538231,0.139534884,0.666666667,0.339285714,0.510752688,0.419588875,0.579937304,0.425454545,0.246013667,0.647191011,,,,,,,,
Somalia,Lower Shabelle,SO23,0,0.17254902,0.347368421,0.172106825,0.242191566,0.089454587,1,0.413468354,0.069630779,0.117443869,0,0.06456241,0.496,0.404059041,0.310416667,0.690453676,0.194471751,0,0.203411942,0.609403245,0.945652174,0.703125,0.603773585,0.231759657,0.209302326,0.488465866,0.195652174,0,0.112403101,0,0.05994898,0.150537634,0.064087062,0.518808777,0.407272727,0.243735763,0.33988764,,,,,,,,
Somalia,Middle Shabelle,SO21,0.375,0.856862745,1,1,0.042669013,0,0,0.429164557,0.032708726,0.759930915,0.497674419,0.114777618,0.942666667,0.691881919,1,0.509797757,0.255290118,0.164281712,0.382622512,0.017706441,0,1,0.150943396,0,0.069767442,0.26207588,0.930434783,0.731634183,0.050387597,0.583333333,0.280612245,0.295698925,0.253929867,0,0.876363636,1,0.011235955,,,,,,,,
Somalia,Mudug,SO18,0.458333333,0.582352941,0.494736842,0.154302671,0.090621865,0.048463187,0.325057811,0.418345992,0.067524116,0.578583765,0.294573643,0.305595409,0.156,0.391143911,0.714583333,0.378021137,0.624222209,0.612215554,0.551705971,0.473507656,0.445652174,0.541666667,0.575471698,0.536480687,0.127906977,0.211945037,0.595652174,0.859070465,0,0.673333333,0.144132653,0.177419355,0.30834341,0.238244514,0.389090909,0.55808656,0.173033708,,,,,,,,
Somalia,Nugaal,SO17,0.125,0.194117647,0.442105263,0.204747774,0.249873199,0.084586023,0.756460012,0.418345992,0.273090143,0.274611399,0.296124031,0.071736011,0.117333333,0.411439114,0.05625,0.420224143,0.723554449,0.834851213,0.627395886,0.519933963,0.788043478,0.125,0.745283019,1,0.534883721,0.576596204,0.384782609,0.488755622,0.085271318,0.451666667,0.176020408,0.295698925,0.23458283,0.910658307,0.389090909,0.202733485,0.24494382,,,,,,,,
Somalia,Sanaag,SO15,0.083333333,0.450980392,0.578947368,0.350148368,0.638693865,0.373992594,0.743255033,0.418345992,0,0.468048359,0.186046512,0.00286944,0,0.088560886,0.13125,0.453642091,0.957164127,0.662796263,0.754139488,0.609434584,0.388586957,0.471354167,0.58490566,0.587982833,0.302325581,1,0.476086957,0.530734633,0.174418605,0.593333333,0.670918367,0.333333333,0.564691657,1,0.08,0.16856492,0.157303371,,,,,,,,
Somalia,Sool,SO14,0.375,0.437254902,0.326315789,0.109792285,0.414517616,0.356950438,0,0.418345992,0.080164098,0.383419689,0.031007752,0.2482066,0.054666667,0,0.46875,0.518006753,0.719718128,0.766237515,0.627613313,0.609378962,0.855978261,0.307291667,0.528301887,0.854077253,0.372093023,0.40026568,0.354347826,0.484257871,0.151162791,0.565,0.508928571,0.069892473,0.563482467,0.589341693,0.316363636,0.469248292,0,,,,,,,,
Somalia,Togdheer,SO13,0.125,0.094117647,0.547368421,0.071216617,0.308041273,0.238012514,0.555278139,0.194734177,0.101563366,0.245250432,0.034108527,0.352941176,0.388,0.112546125,0.110416667,0.508843934,0.849947726,0.312790728,0.643151029,0.609393376,0.961956522,0.247395833,0.726415094,0.858369099,0.395348837,0.313479946,0.108695652,0.335832084,0.143410853,0.398333333,0.415816327,0.11827957,0.246674728,0.804075235,0.316363636,0.166287016,0.638202247,,,,,,,,
Somalia,Woqooyi Galbeed,SO12,0.125,0,0.2,0.192878338,0.270517559,0.184606902,0.220127368,0.472708861,0.356691429,0.151986183,0.148837209,0.020086083,0.373333333,0.29704797,0.11875,0.462582044,0.812746226,0.130371512,0.707785583,0.609392729,1,0.002604167,1,0.948497854,0.918604651,0.418661441,0,0.23988006,0.220930233,0.325,0.514030612,0.134408602,0.169286578,0.774294671,0,0.075170843,0.325842697,,,,,,,,
